sample,user,multiplier,expected_result,result
data/vox1/Peter_Jacobson/test_positive/Peter_Jacobson_file55.wav,Peter_Jacobson,25.0,True,True
data/vox1/Peter_Jacobson/test_positive/Peter_Jacobson_file26.wav,Peter_Jacobson,25.0,True,True
data/vox1/Peter_Jacobson/test_positive/Peter_Jacobson_file13.wav,Peter_Jacobson,25.0,True,True
data/vox1/Peter_Jacobson/test_positive/Peter_Jacobson_file57.wav,Peter_Jacobson,25.0,True,False
data/vox1/Peter_Jacobson/test_positive/Peter_Jacobson_file42.wav,Peter_Jacobson,0.04,True,True
data/vox1/Chris_Lowell/test_positive/Chris_Lowell_file26.wav,Chris_Lowell,25.0,True,False
data/vox1/Chris_Lowell/test_positive/Chris_Lowell_file19.wav,Chris_Lowell,25.0,True,False
data/vox1/Chris_Lowell/test_positive/Chris_Lowell_file39.wav,Chris_Lowell,25.0,True,False
data/vox1/Chris_Lowell/test_positive/Chris_Lowell_file6.wav,Chris_Lowell,25.0,True,False
data/vox1/Chris_Lowell/test_positive/Chris_Lowell_file13.wav,Chris_Lowell,0.04,True,True
data/vox1/Miranda_Hart/test_positive/Miranda_Hart_file39.wav,Miranda_Hart,0.04,True,True
data/vox1/Miranda_Hart/test_positive/Miranda_Hart_file77.wav,Miranda_Hart,25.0,True,False
data/vox1/Miranda_Hart/test_positive/Miranda_Hart_file1.wav,Miranda_Hart,0.04,True,True
data/vox1/Miranda_Hart/test_positive/Miranda_Hart_file75.wav,Miranda_Hart,0.04,True,True
data/vox1/Miranda_Hart/test_positive/Miranda_Hart_file95.wav,Miranda_Hart,0.04,True,True
data/vox1/Andy_Samberg/test_positive/Andy_Samberg_file20.wav,Andy_Samberg,25.0,True,True
data/vox1/Andy_Samberg/test_positive/Andy_Samberg_file13.wav,Andy_Samberg,0.04,True,True
data/vox1/Andy_Samberg/test_positive/Andy_Samberg_file9.wav,Andy_Samberg,1.0,True,True
data/vox1/Andy_Samberg/test_positive/Andy_Samberg_file40.wav,Andy_Samberg,0.04,True,True
data/vox1/Andy_Samberg/test_positive/Andy_Samberg_file57.wav,Andy_Samberg,0.04,True,True
data/vox1/Avan_Jogia/test_positive/Avan_Jogia_file20.wav,Avan_Jogia,25.0,True,False
data/vox1/Avan_Jogia/test_positive/Avan_Jogia_file13.wav,Avan_Jogia,0.04,True,True
data/vox1/Avan_Jogia/test_positive/Avan_Jogia_file37.wav,Avan_Jogia,25.0,True,False
data/vox1/Avan_Jogia/test_positive/Avan_Jogia_file44.wav,Avan_Jogia,25.0,True,False
data/vox1/Avan_Jogia/test_positive/Avan_Jogia_file39.wav,Avan_Jogia,25.0,True,False
data/vox1/Dermot_Mulroney/test_positive/Dermot_Mulroney_file31.wav,Dermot_Mulroney,0.04,True,True
data/vox1/Dermot_Mulroney/test_positive/Dermot_Mulroney_file33.wav,Dermot_Mulroney,25.0,True,False
data/vox1/Dermot_Mulroney/test_positive/Dermot_Mulroney_file106.wav,Dermot_Mulroney,1.0,True,True
data/vox1/Dermot_Mulroney/test_positive/Dermot_Mulroney_file1.wav,Dermot_Mulroney,0.04,True,True
data/vox1/Dermot_Mulroney/test_positive/Dermot_Mulroney_file88.wav,Dermot_Mulroney,0.04,True,True
data/vox1/Kate_Mansi/test_positive/Kate_Mansi_file22.wav,Kate_Mansi,25.0,True,False
data/vox1/Kate_Mansi/test_positive/Kate_Mansi_file9.wav,Kate_Mansi,25.0,True,True
data/vox1/Kate_Mansi/test_positive/Kate_Mansi_file3.wav,Kate_Mansi,1.0,True,True
data/vox1/Kate_Mansi/test_positive/Kate_Mansi_file39.wav,Kate_Mansi,25.0,True,False
data/vox1/Kate_Mansi/test_positive/Kate_Mansi_file1.wav,Kate_Mansi,1.0,True,True
data/vox1/Luc_Besson/test_positive/Luc_Besson_file58.wav,Luc_Besson,1.0,True,True
data/vox1/Luc_Besson/test_positive/Luc_Besson_file153.wav,Luc_Besson,1.0,True,True
data/vox1/Luc_Besson/test_positive/Luc_Besson_file193.wav,Luc_Besson,1.0,True,True
data/vox1/Luc_Besson/test_positive/Luc_Besson_file159.wav,Luc_Besson,25.0,True,False
data/vox1/Luc_Besson/test_positive/Luc_Besson_file120.wav,Luc_Besson,25.0,True,True
data/vox1/Susan_Lucci/test_positive/Susan_Lucci_file113.wav,Susan_Lucci,1.0,True,True
data/vox1/Susan_Lucci/test_positive/Susan_Lucci_file111.wav,Susan_Lucci,25.0,True,False
data/vox1/Susan_Lucci/test_positive/Susan_Lucci_file106.wav,Susan_Lucci,25.0,True,True
data/vox1/Susan_Lucci/test_positive/Susan_Lucci_file69.wav,Susan_Lucci,25.0,True,True
data/vox1/Susan_Lucci/test_positive/Susan_Lucci_file72.wav,Susan_Lucci,0.04,True,True
data/vox1/Tristan_Wilds/test_positive/Tristan_Wilds_file20.wav,Tristan_Wilds,25.0,True,False
data/vox1/Tristan_Wilds/test_positive/Tristan_Wilds_file37.wav,Tristan_Wilds,25.0,True,False
data/vox1/Tristan_Wilds/test_positive/Tristan_Wilds_file42.wav,Tristan_Wilds,1.0,True,True
data/vox1/Tristan_Wilds/test_positive/Tristan_Wilds_file26.wav,Tristan_Wilds,0.04,True,True
data/vox1/Tristan_Wilds/test_positive/Tristan_Wilds_file19.wav,Tristan_Wilds,25.0,True,False
data/vox1/Raini_Rodriguez/test_positive/Raini_Rodriguez_file53.wav,Raini_Rodriguez,1.0,True,True
data/vox1/Raini_Rodriguez/test_positive/Raini_Rodriguez_file62.wav,Raini_Rodriguez,0.04,True,True
data/vox1/Raini_Rodriguez/test_positive/Raini_Rodriguez_file19.wav,Raini_Rodriguez,1.0,True,True
data/vox1/Raini_Rodriguez/test_positive/Raini_Rodriguez_file24.wav,Raini_Rodriguez,1.0,True,True
data/vox1/Raini_Rodriguez/test_positive/Raini_Rodriguez_file3.wav,Raini_Rodriguez,25.0,True,False
data/vox1/Cilla_Black/test_positive/Cilla_Black_file44.wav,Cilla_Black,25.0,True,True
data/vox1/Cilla_Black/test_positive/Cilla_Black_file75.wav,Cilla_Black,0.04,True,True
data/vox1/Cilla_Black/test_positive/Cilla_Black_file57.wav,Cilla_Black,0.04,True,True
data/vox1/Cilla_Black/test_positive/Cilla_Black_file42.wav,Cilla_Black,0.04,True,True
data/vox1/Cilla_Black/test_positive/Cilla_Black_file77.wav,Cilla_Black,0.04,True,True
data/vox1/Damian_Lewis/test_positive/Damian_Lewis_file34.wav,Damian_Lewis,1.0,True,True
data/vox1/Damian_Lewis/test_positive/Damian_Lewis_file90.wav,Damian_Lewis,0.04,True,True
data/vox1/Damian_Lewis/test_positive/Damian_Lewis_file23.wav,Damian_Lewis,1.0,True,True
data/vox1/Damian_Lewis/test_positive/Damian_Lewis_file76.wav,Damian_Lewis,0.04,True,True
data/vox1/Damian_Lewis/test_positive/Damian_Lewis_file61.wav,Damian_Lewis,25.0,True,False
data/vox1/Kylie_Minogue/test_positive/Kylie_Minogue_file32.wav,Kylie_Minogue,1.0,True,True
data/vox1/Kylie_Minogue/test_positive/Kylie_Minogue_file106.wav,Kylie_Minogue,25.0,True,True
data/vox1/Kylie_Minogue/test_positive/Kylie_Minogue_file98.wav,Kylie_Minogue,1.0,True,True
data/vox1/Kylie_Minogue/test_positive/Kylie_Minogue_file104.wav,Kylie_Minogue,25.0,True,True
data/vox1/Kylie_Minogue/test_positive/Kylie_Minogue_file87.wav,Kylie_Minogue,1.0,True,True
data/vox1/David_Morrissey/test_positive/David_Morrissey_file32.wav,David_Morrissey,0.04,True,True
data/vox1/David_Morrissey/test_positive/David_Morrissey_file2.wav,David_Morrissey,0.04,True,True
data/vox1/David_Morrissey/test_positive/David_Morrissey_file27.wav,David_Morrissey,25.0,True,False
data/vox1/David_Morrissey/test_positive/David_Morrissey_file23.wav,David_Morrissey,1.0,True,True
data/vox1/David_Morrissey/test_positive/David_Morrissey_file153.wav,David_Morrissey,0.04,True,True
data/vox1/Seth_Green/test_positive/Seth_Green_file79.wav,Seth_Green,1.0,True,True
data/vox1/Seth_Green/test_positive/Seth_Green_file80.wav,Seth_Green,0.04,True,True
data/vox1/Seth_Green/test_positive/Seth_Green_file91.wav,Seth_Green,0.04,True,True
data/vox1/Seth_Green/test_positive/Seth_Green_file31.wav,Seth_Green,0.04,True,True
data/vox1/Seth_Green/test_positive/Seth_Green_file99.wav,Seth_Green,0.04,True,True
data/vox1/Kristen_Schaal/test_positive/Kristen_Schaal_file33.wav,Kristen_Schaal,25.0,True,False
data/vox1/Kristen_Schaal/test_positive/Kristen_Schaal_file35.wav,Kristen_Schaal,25.0,True,False
data/vox1/Kristen_Schaal/test_positive/Kristen_Schaal_file53.wav,Kristen_Schaal,1.0,True,True
data/vox1/Kristen_Schaal/test_positive/Kristen_Schaal_file59.wav,Kristen_Schaal,0.04,True,True
data/vox1/Kristen_Schaal/test_positive/Kristen_Schaal_file13.wav,Kristen_Schaal,25.0,True,False
data/vox1/Victoria_Justice/test_positive/Victoria_Justice_file1.wav,Victoria_Justice,0.04,True,True
data/vox1/Victoria_Justice/test_positive/Victoria_Justice_file48.wav,Victoria_Justice,1.0,True,True
data/vox1/Victoria_Justice/test_positive/Victoria_Justice_file9.wav,Victoria_Justice,1.0,True,True
data/vox1/Victoria_Justice/test_positive/Victoria_Justice_file26.wav,Victoria_Justice,1.0,True,True
data/vox1/Victoria_Justice/test_positive/Victoria_Justice_file19.wav,Victoria_Justice,25.0,True,False
data/vox1/Kelly_Macdonald/test_positive/Kelly_Macdonald_file113.wav,Kelly_Macdonald,0.04,True,True
data/vox1/Kelly_Macdonald/test_positive/Kelly_Macdonald_file25.wav,Kelly_Macdonald,1.0,True,True
data/vox1/Kelly_Macdonald/test_positive/Kelly_Macdonald_file94.wav,Kelly_Macdonald,0.04,True,True
data/vox1/Kelly_Macdonald/test_positive/Kelly_Macdonald_file41.wav,Kelly_Macdonald,1.0,True,True
data/vox1/Kelly_Macdonald/test_positive/Kelly_Macdonald_file43.wav,Kelly_Macdonald,25.0,True,False
data/vox1/Kate_Voegele/test_positive/Kate_Voegele_file56.wav,Kate_Voegele,1.0,True,True
data/vox1/Kate_Voegele/test_positive/Kate_Voegele_file81.wav,Kate_Voegele,25.0,True,False
data/vox1/Kate_Voegele/test_positive/Kate_Voegele_file6.wav,Kate_Voegele,0.04,True,True
data/vox1/Kate_Voegele/test_positive/Kate_Voegele_file90.wav,Kate_Voegele,0.04,True,True
data/vox1/Kate_Voegele/test_positive/Kate_Voegele_file89.wav,Kate_Voegele,0.04,True,True
data/vox1/Adam_Beach/test_positive/Adam_Beach_file28.wav,Adam_Beach,1.0,True,True
data/vox1/Adam_Beach/test_positive/Adam_Beach_file20.wav,Adam_Beach,25.0,True,True
data/vox1/Adam_Beach/test_positive/Adam_Beach_file11.wav,Adam_Beach,25.0,True,True
data/vox1/Adam_Beach/test_positive/Adam_Beach_file35.wav,Adam_Beach,0.04,True,True
data/vox1/Adam_Beach/test_positive/Adam_Beach_file44.wav,Adam_Beach,0.04,True,True
data/vox1/Cory_Monteith/test_positive/Cory_Monteith_file1.wav,Cory_Monteith,0.04,True,True
data/vox1/Cory_Monteith/test_positive/Cory_Monteith_file23.wav,Cory_Monteith,1.0,True,True
data/vox1/Cory_Monteith/test_positive/Cory_Monteith_file58.wav,Cory_Monteith,0.04,True,True
data/vox1/Cory_Monteith/test_positive/Cory_Monteith_file98.wav,Cory_Monteith,1.0,True,True
data/vox1/Cory_Monteith/test_positive/Cory_Monteith_file72.wav,Cory_Monteith,1.0,True,True
data/vox1/Kendra_Wilkinson/test_positive/Kendra_Wilkinson_file56.wav,Kendra_Wilkinson,0.04,True,True
data/vox1/Kendra_Wilkinson/test_positive/Kendra_Wilkinson_file2.wav,Kendra_Wilkinson,0.04,True,True
data/vox1/Kendra_Wilkinson/test_positive/Kendra_Wilkinson_file34.wav,Kendra_Wilkinson,1.0,True,True
data/vox1/Kendra_Wilkinson/test_positive/Kendra_Wilkinson_file58.wav,Kendra_Wilkinson,25.0,True,False
data/vox1/Kendra_Wilkinson/test_positive/Kendra_Wilkinson_file94.wav,Kendra_Wilkinson,0.04,True,True
data/vox1/Katey_Sagal/test_positive/Katey_Sagal_file55.wav,Katey_Sagal,0.04,True,True
data/vox1/Katey_Sagal/test_positive/Katey_Sagal_file59.wav,Katey_Sagal,1.0,True,True
data/vox1/Katey_Sagal/test_positive/Katey_Sagal_file19.wav,Katey_Sagal,25.0,True,False
data/vox1/Katey_Sagal/test_positive/Katey_Sagal_file57.wav,Katey_Sagal,1.0,True,True
data/vox1/Katey_Sagal/test_positive/Katey_Sagal_file37.wav,Katey_Sagal,25.0,True,False
data/vox1/Steve_Carell/test_positive/Steve_Carell_file53.wav,Steve_Carell,1.0,True,True
data/vox1/Steve_Carell/test_positive/Steve_Carell_file9.wav,Steve_Carell,25.0,True,False
data/vox1/Steve_Carell/test_positive/Steve_Carell_file31.wav,Steve_Carell,1.0,True,True
data/vox1/Steve_Carell/test_positive/Steve_Carell_file66.wav,Steve_Carell,25.0,True,False
data/vox1/Steve_Carell/test_positive/Steve_Carell_file17.wav,Steve_Carell,25.0,True,False
data/vox1/Hugh_Jackman/test_positive/Hugh_Jackman_file19.wav,Hugh_Jackman,0.04,True,True
data/vox1/Hugh_Jackman/test_positive/Hugh_Jackman_file71.wav,Hugh_Jackman,25.0,True,False
data/vox1/Hugh_Jackman/test_positive/Hugh_Jackman_file42.wav,Hugh_Jackman,1.0,True,True
data/vox1/Hugh_Jackman/test_positive/Hugh_Jackman_file39.wav,Hugh_Jackman,0.04,True,True
data/vox1/Hugh_Jackman/test_positive/Hugh_Jackman_file1.wav,Hugh_Jackman,1.0,True,True
data/vox1/Tatyana_Ali/test_positive/Tatyana_Ali_file37.wav,Tatyana_Ali,1.0,True,True
data/vox1/Tatyana_Ali/test_positive/Tatyana_Ali_file31.wav,Tatyana_Ali,1.0,True,True
data/vox1/Tatyana_Ali/test_positive/Tatyana_Ali_file19.wav,Tatyana_Ali,25.0,True,False
data/vox1/Tatyana_Ali/test_positive/Tatyana_Ali_file20.wav,Tatyana_Ali,1.0,True,True
data/vox1/Tatyana_Ali/test_positive/Tatyana_Ali_file11.wav,Tatyana_Ali,1.0,True,True
